"name","release","popularity"
"Logan","2017-02-28",49.229
"John Wick: Chapter 2","2017-02-08",31.271
"Kong: Skull Island","2017-03-08",28.18
"Beauty and the Beast","2017-03-16",32.537
"Split","2017-01-19",23.41
"Get Out","2017-02-24",25.838
"The Disaster Artist","2017-03-12",12.045
"xXx: Return of Xander Cage","2017-01-13",21.705
"Ghost in the Shell","2017-03-29",17.745
"Below Her Mouth","2017-02-10",16.437
"Power Rangers","2017-03-23",12.239
"The Lego Batman Movie","2017-02-08",12.581
"CHiPS","2017-01-16",10.212
"Life","2017-03-22",23.487
"The Space Between Us","2017-01-26",10.376
"A Cure for Wellness","2017-02-15",13.324
"Before I Fall","2017-03-02",12.427
"Justice League Dark","2017-01-24",10.098
"Aftermath","2017-02-28",10.859
"Fifty Shades Darker","2017-02-08",10.861
"A Dog's Purpose","2017-01-19",11.113
"Smurfs: The Lost Village","2017-03-23",13.023
"功夫瑜伽","2017-01-27",7.922
"Free Fire","2017-03-31",11.446
"Rock'n Roll","2017-02-15",6.191
"Tadeo Jones 2: El secreto del rey Midas","2017-03-25",10.587
"Security","2017-03-04",9.899
"Sleepless","2017-01-12",11.21
"Tangled: Before Ever After","2017-03-10",9.044
"T2 Trainspotting","2017-01-27",12.934
"Table 19","2017-03-03",9.411
"Rings","2017-02-01",14.799
"The Big Sick","2017-03-30",11.11
"Brain on Fire","2017-02-22",10.044
"After Porn Ends 2","2017-03-28",10.622
"Song to Song","2017-03-17",10.236
"The Bye Bye Man","2017-01-12",8.472
"Don't Knock Twice","2017-02-03",9.067
"Alibi.com","2017-02-15",8.439
"The Healer","2017-02-17",10.306
"Un sac de billes","2017-01-18",6.194
"The Last Word","2017-03-03",9.201
"The Shack","2017-03-03",10.22
"Sherlock: The Final Problem","2017-01-15",8.118
"I Am Not Your Negro","2017-02-03",9.517
"The Blackcoat's Daughter","2017-03-31",9.545
"Are You Coming?! - City of Angels","2017-01-01",7.617
"Teen Titans: The Judas Contract","2017-03-22",8.5
"Vengeance: A Love Story","2017-03-16",9.612
"Extortion","2017-01-02",9.299
"The Lost City of Z","2017-03-15",11.668
"Viceroy's House","2017-03-03",10.1
"What the Health","2017-03-16",9.4
"The Ottoman Lieutenant","2017-03-10",9.917
"Защитники","2017-02-14",8.68
"Goon: Last of the Enforcers","2017-03-17",7.847
"Sahara","2017-02-01",8.288
"Притяжение","2017-01-26",8.998
"一週間フレンズ","2017-02-18",8.901
"To the Bone","2017-01-22",10.691
"The Most Hated Woman in America","2017-03-24",8.025
"Curse of the Mayans","2017-01-02",4.394
"Wilson","2017-03-24",6.964
"Kiss and Cry","2017-02-10",8.895
"The Discovery","2017-03-31",8.221
"Lovesong","2017-02-17",6.408
"XX","2017-02-17",7.14
"First They Killed My Father","2017-02-18",8.885
"Arsenal","2017-01-06",6.937
"Voyage of Time: Life's Journey","2017-03-10",10.111
"The Void","2017-01-15",9.415
"El bar","2017-02-15",6.712
"Burning Sands","2017-01-24",6.695
"The Polka King","2017-01-22",7.046
"Dave Chappelle: The Age of Spin","2017-03-21",7.57
"Strong Island","2017-01-23",6.716
"Clinical","2017-01-13",9.053
"The Zookeeper's Wife","2017-03-31",10.659
"L'Ascension","2017-01-25",7.785
"Eloise","2017-02-03",6.172
"Bokeh","2017-03-24",8.447
"Unforgettable","2017-03-06",8.814
"Carrie Pilby","2017-03-31",7.263
"Take the 10","2017-01-20",6.285
