"name","release","popularity"
"Maleficent","2014-05-28",27.993
"Dawn of the Planet of the Apes","2014-06-26",28.118
"X-Men: Days of Future Past","2014-05-15",24.515
"How to Train Your Dragon 2","2014-06-09",23.753
"Edge of Tomorrow","2014-05-27",22.873
"Transformers: Age of Extinction","2014-06-25",19.78
"The Amazing Spider-Man 2","2014-04-16",17.462
"The Captive","2014-06-10",14.068
"Godzilla","2014-05-14",16.04
"Mommy","2014-05-22",13.236
"Bears","2014-04-17",10.768
"22 Jump Street","2014-06-05",13.857
"Chef","2014-05-08",13.142
"Boyhood","2014-06-05",12.06
"The Other Woman","2014-04-16",12.367
"The Fault in Our Stars","2014-05-16",13.487
"Son of Batman","2014-04-20",14.104
"Neighbors","2014-05-08",15.221
"Let Us Prey","2014-04-17",7.65
"The Rover","2014-05-18",8.785
"The Homesman","2014-05-18",10.964
"Walk of Shame","2014-05-02",10.524
"Locke","2014-04-10",12.619
"Transcendence","2014-04-16",12.769
"Blended","2014-05-21",8.625
"Foxcatcher","2014-05-19",8.66
"Calvary","2014-04-11",8.528
"Qu'est-ce qu'on a fait au Bon Dieu","2014-04-16",13.438
"Draft Day","2014-04-11",8.05
"What We Do in the Shadows","2014-06-19",10.345
"Brick Mansions","2014-04-22",9.029
"13 Sins","2014-04-18",11.201
"Zapped","2014-06-27",9.345
"Frank","2014-05-02",8.766
"Oculus","2014-04-03",10.489
"टू स्टेट्स","2014-04-17",4.941
"The Salvation","2014-05-22",9.499
"The Internet's Own Boy: The Story of Aaron Swartz","2014-06-27",9.17
"Maps to the Stars","2014-05-21",7.867
"A Million Ways to Die in the West","2014-05-22",11.842
"Tokarev","2014-05-09",8.479
"The Quiet Ones","2014-04-01",8.868
"冰封俠：重生之門","2014-04-17",5.74
"The Anomaly","2014-06-19",8.142
"Jersey Boys","2014-06-05",10.557
"The Disappearance of Eleanor Rigby: Them","2014-05-14",8.03
"The Double","2014-04-04",9.028
"Plastic","2014-04-30",6.349
"The Babadook","2014-05-22",13.635
"Behaving Badly","2014-04-14",8.08
"Kid Cannabis","2014-04-18",6.121
"The Two Faces of January","2014-05-16",8.209
