"name","release","popularity"
"Olympus Has Fallen","2013-03-20",17.926
"The Croods","2013-03-20",18.98
"Jack the Giant Slayer","2013-02-27",17.693
"The Conjuring","2013-03-20",20.794
"Batman: The Dark Knight Returns, Part 2","2013-01-18",15.33
"Hansel & Gretel: Witch Hunters","2013-01-17",14.803
"Texas Chainsaw 3D","2013-01-03",19.327
"A Good Day to Die Hard","2013-02-06",15.169
"The Last Stand","2013-01-12",14.529
"Mama","2013-01-17",11.627
"G.I. Joe: Retaliation","2013-03-26",13.572
"Odd Thomas","2013-01-29",12.163
"Bullet to the Head","2013-01-31",9.566
"Movie 43","2013-01-01",13.58
"Gangster Squad","2013-01-10",11.098
"Broken City","2013-01-18",10.129
"The Host","2013-03-22",11.431
"A Haunted House","2013-01-11",15.125
"End of the World","2013-02-22",6.015
"Parker","2013-01-23",12.936
"Spring Breakers","2013-01-24",9.333
"一代宗師","2013-01-10",10.122
"Barbie: The Pearl Princess","2013-02-19",10.244
"The Call","2013-03-14",8.522
"Dark Skies","2013-02-21",8.715
"Oz the Great and Powerful","2013-03-07",16.002
"Beautiful Creatures","2013-02-13",12.391
"Snitch","2013-02-21",11.393
"Amazing Ocean 3D","2013-01-17",5.492
"Welcome to the Punch","2013-03-15",8.654
"ドラゴンボールZ 神と神","2013-03-30",9.937
"Death Race: Inferno","2013-01-04",10.785
"Identity Thief","2013-02-07",10.116
"Stand Up Guys","2013-01-31",8.307
"The Haunting in Connecticut 2: Ghosts of Georgia","2013-02-01",6.411
"Warm Bodies","2013-01-31",11.756
"Side Effects","2013-02-07",12.705
"Admission","2013-03-21",8.083
"La migliore offerta","2013-01-01",9.556
"Breathe In","2013-01-18",10.247
"The Place Beyond the Pines","2013-03-14",13.423
"Barbie in the Pink Shoes","2013-02-14",10.618
"Dead Man Down","2013-03-08",8.196
"The Incredible Burt Wonderstone","2013-03-14",8.644
"Safe Haven","2013-02-07",11.582
"Hansel and Gretel Get Baked","2013-02-19",6.26
"The Blue Umbrella","2013-02-12",9.243
"西游·降魔篇","2013-02-01",8.434
"Madly Madagascar","2013-01-29",7.353
"Phantom","2013-01-03",9.224
"Escape from Planet Earth","2013-02-14",9.124
"21 & Over","2013-03-01",10.039
"The Pirate Bay: Away from Keyboard","2013-02-08",8.701
"No One Lives","2013-03-09",7.828
"Trance","2013-03-27",10.524
"신세계","2013-02-21",7.359
"The Kings of Summer","2013-01-19",8.271
"स्पेशल 26","2013-02-07",6.887
"Stoker","2013-02-28",7.325
"The Last Exorcism Part II","2013-02-28",7.728
"Rubinrot","2013-03-14",8.113
"Love and Honor","2013-03-22",7.721
"AmeriQua","2013-02-28",5.429
"Kokowääh 2","2013-01-27",6.367
"To the Wonder","2013-02-22",9.749
"Sound City","2013-01-18",8.419
"リトルウィッチアカデミア","2013-03-02",6.217
"I Give It a Year","2013-02-08",7.485
"Il principe abusivo","2013-02-09",6.154
"Vehicle 19","2013-03-07",7.564
"Return to Nim's Island","2013-03-15",5.415
"Schlussmacher","2013-01-10",6.024
"Amiche da morire","2013-03-07",7.843
"Crush","2013-03-13",6.637
"Knights of Badassdom","2013-01-21",7.432
"Ostwind","2013-03-21",9.016
"The Wizards Return: Alex vs. Alex","2013-03-15",7.645
"The Dyatlov Pass Incident","2013-02-27",8.344
"7번방의 선물","2013-01-23",5.547
"The Reluctant Fundamentalist","2013-03-17",7.88
"Jappeloup","2013-03-13",4.978
"Sparks","2013-03-01",4.462
"베를린","2013-01-30",6.774
"Charlie Countryman","2013-02-09",7.333
"Los amantes pasajeros","2013-03-08",6.337
"Company of Heroes","2013-02-25",6.092
"Whiplash","2013-01-18",6.673
"Family Weekend","2013-03-28",6.353
"Very Good Girls","2013-01-22",6.41
"Coldwater","2013-03-10",6.209
"Ass Backwards","2013-01-21",3.969
"Prince Avalanche","2013-02-13",8.765
"Paulette","2013-01-16",7.644
"Temptation: Confessions of a Marriage Counselor","2013-03-29",4.539
"Möbius","2013-02-17",6.13
"Gloria","2013-02-10",5.384
"Battlestar Galactica: Blood & Chrome","2013-02-10",7.187
"20 ans d'écart","2013-03-06",7.621
"Buongiorno papà","2013-03-14",7.721
"Frankenstein's Army","2013-01-24",6.829
"Cottage Country","2013-03-13",4.969
"Girl Rising","2013-03-07",5.41
"Dirty Wars","2013-01-18",6.025
"The Marine 3: Homefront","2013-03-05",6.433
"Alceste à bicyclette","2013-01-16",4.846
"Inequality for All","2013-01-19",8.226
"Night Train to Lisbon","2013-03-07",7.1
"Shadow People","2013-03-17",5.2
"Cheap Thrills","2013-03-08",7.263
"Sanitarium","2013-03-01",4.403
"Phil Spector","2013-03-24",4.636
"100 Degrees Below Zero","2013-03-29",3.757
"Killing Lincoln","2013-02-16",4.804
"Vive la France","2013-02-19",5.859
"Touchy Feely","2013-01-19",5.492
"Girl on a Bicycle","2013-03-04",4.745
"Pazze di me","2013-01-24",6.307
"Straight A's","2013-01-16",4.931
"Spiders","2013-02-08",4.494
"The Wicked","2013-03-20",4.65
"Метро","2013-02-21",5.137
"Kink","2013-01-19",5.088
"Monster High: Friday Night Frights","2013-02-01",4.385
"30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo","2013-01-14",5.809
"Nosotros los nobles","2013-03-28",4.95
"3096 Tage","2013-02-21",5.709
"Hansel & Gretel","2013-01-07",5.035
"The End of Love","2013-03-01",3.125
"Monster High: Scaris City of Frights","2013-03-03",6.167
"The Appearing","2013-01-10",4.642
"Educazione siberiana","2013-02-27",4.928
"Exploding Sun","2013-02-09",3.618
"An Amish Murder","2013-01-06",4.131
"Milius","2013-03-09",5.63
"A Resurrection","2013-03-21",3.606
"Molly Maxwell","2013-01-06",4.904
"Boule & Bill","2013-02-27",4.903
"Noobz","2013-01-25",3.476
"ベルセルク 黄金時代篇III 降臨","2013-02-01",6.228
"Vai Que Dá Certo","2013-03-22",4.948
"Iliza Shlesinger: War Paint","2013-01-01",4.049
"Dark Circles","2013-01-01",5.613
"Mary and Martha","2013-03-01",5.528
"One Small Hitch","2013-02-14",5.306
"I Am Divine","2013-03-09",5.24
"Deadly Descent","2013-01-26",2.424
"The Package","2013-02-09",5.231
"デス・ビリヤード","2013-03-01",4.551
"Hawking","2013-03-11",5.608
"Drogówka","2013-01-31",2.891
"Collision","2013-01-30",5.945
"$ellebrity","2013-01-11",3.257
"Tesis sobre un homicidio","2013-01-17",5.345
"The Legend of Sarila","2013-02-22",4.05
"Aroused","2013-02-20",5.855
"K-11","2013-03-15",4.036
"InAPPropriate Comedy","2013-03-22",3.919
"500 MPH Storm","2013-02-28",4.139
"Blood Brother","2013-01-20",2.651
"La Vraie vie des profs","2013-02-20",4.608
"พี่มาก..พระโขนง","2013-03-28",4.509
"Kill for Me","2013-02-12",4.62
"Max","2013-01-18",4.775
"Viva la libertà","2013-02-13",5.611
"Goddess","2013-03-12",3.144
"The Lady Vanishes","2013-03-17",2.684
"Off World","2013-01-15",3.597
"Watercolor Postcards","2013-01-01",3.452
"Dragon Day","2013-01-10",3.203
"Kelebeğin Rüyası","2013-02-22",4.183
"จันดารา ปัจฉิมบท","2013-02-07",5.578
"Los últimos días","2013-03-27",4.877
"Benvenuto Presidente!","2013-03-21",4.466
"Ghost Team One","2013-01-20",3.155
"Java Heat","2013-03-06",4.531
"The Haunting of Helena","2013-01-14",3.643
"Must Be... Love","2013-03-12",3.503
"The Challenger","2013-03-18",4.305
"12 O’Clock Boys","2013-01-31",4.211
"The Jeffrey Dahmer Files","2013-02-15",4.473
"Poziţia copilului","2013-03-08",2.782
"Holy Ghost People","2013-03-10",3.606
"Jack the Giant Killer","2013-03-12",4.078
"Borealis","2013-01-11",3.914
"Isis Rising: Curse of the Lady Mummy","2013-01-17",1.936
"Tasmanian Devils","2013-01-31",3.372
"Officer Down","2013-01-22",4.624
"Detour","2013-03-29",3.718
"Coffin Baby","2013-03-15",3.339
"Riddle","2013-01-10",5.149
"LUV","2013-01-18",3.972
"My Amityville Horror","2013-03-14",3.959
