"name","release","popularity"
"Guardians of the Galaxy","2014-07-30",42.694
"The Maze Runner","2014-09-10",36.892
"The Equalizer","2014-09-24",35.033
"Birdman","2014-08-27",34.893
"Teenage Mutant Ninja Turtles","2014-08-07",29.611
"The Purge: Anarchy","2014-07-17",37.044
"Sin City: A Dame to Kill For","2014-08-20",25.601
"The Drop","2014-09-12",20.662
"Sex Tape","2014-07-17",17.742
"A Walk Among the Tombstones","2014-09-18",19.973
"Before I Go to Sleep","2014-09-03",17.254
"No Good Deed","2014-09-10",12.88
"Hercules","2014-07-23",25.645
"The November Man","2014-08-27",16.498
"Lucy","2014-07-25",23.477
"Stonehearst Asylum","2014-09-11",15.289
"Predestination","2014-08-28",14.141
"The Prince","2014-08-22",13.137
"The Giver","2014-08-11",10.058
"Beyond the Reach","2014-09-06",15.663
"Outcast","2014-09-26",14.982
"The Boxtrolls","2014-09-10",9.441
"Deliver Us from Evil","2014-07-01",10.836
"Playing It Cool","2014-09-26",13.268
"If I Stay","2014-08-21",10.517
"Let's Be Cops","2014-08-13",18.175
"The Expendables 3","2014-08-04",16.427
"The Cobbler","2014-09-11",10.231
"Step Up All In","2014-07-16",15.777
"The Green Inferno","2014-09-04",8.547
"Cake","2014-09-07",14.163
"Big Game","2014-09-05",8.206
"Tammy","2014-07-02",9.129
"Tusk","2014-09-19",11.463
"Two Night Stand","2014-09-26",9.973
"A Most Wanted Man","2014-07-25",10.988
"Magic in the Moonlight","2014-07-25",7.544
"Batman: Assault on Arkham","2014-08-12",9.594
"Saphirblau","2014-08-14",8.872
"Get on Up","2014-08-01",10.034
"Frontera","2014-07-31",13.898
"Плем'я","2014-09-11",7.788
"As Above, So Below","2014-08-14",8.637
"Planes: Fire & Rescue","2014-07-17",9.617
"Into the Storm","2014-08-06",11.379
"Out of the Dark","2014-08-27",6.913
"Song of the Sea","2014-09-06",9.265
"Who Am I - Kein System ist sicher","2014-09-25",8.997
"How to Build a Better Boy","2014-08-17",7.79
"20.000 Days on Earth","2014-07-05",9.259
"Northmen: A Viking Saga","2014-09-27",8.721
"Wrong Turn 6: Last Resort","2014-08-22",10.49
"ポケモン・ザ・ムービーXY 破壊の繭とディアンシー","2014-07-19",8.816
"Starry Eyes","2014-07-29",6.79
"Kristy","2014-08-07",8.858
"I Origins","2014-07-18",9.209
"Good People","2014-09-26",7.052
"This Is Where I Leave You","2014-09-10",12.02
"Cut Bank","2014-09-10",9.039
"Deepsea Challenge 3D","2014-08-08",5.999
"White Bird in a Blizzard","2014-08-14",9.312
"Clouds of Sils Maria","2014-08-20",7.642
"Relatos salvajes","2014-08-21",6.936
"Welcome to Me","2014-09-05",6.436
"Dolphin Tale 2","2014-09-12",7.155
"Open Windows","2014-07-04",7.235
"The Look of Silence","2014-08-30",9.113
"Video Games: The Movie","2014-07-18",8.313
"The Forger","2014-09-10",9.542
"명량","2014-07-30",7.943
"Левиафан","2014-09-24",8.999
"The Skeleton Twins","2014-09-12",8.878
"るろうに剣心　伝説の最期編","2014-09-13",8.727
"The Longest Week","2014-09-05",7.998
"Maya the Bee Movie","2014-09-11",7.437
"Pride","2014-09-12",9.846
"La isla mínima","2014-09-25",7.805
"るろうに剣心 京都大火編","2014-08-01",9.776
"Premature","2014-07-02",7.96
"The Hundred-Foot Journey","2014-08-06",8.256
"God Help the Girl","2014-08-22",8.861
"My Little Pony: Equestria Girls - Rainbow Rocks","2014-09-27",6.094
"Housebound","2014-09-04",7.642
"Space Station 76","2014-09-19",6.61
"Reclaim","2014-09-19",7.812
"Sharknado 2: The Second One","2014-07-30",7.013
"The 10 Year Plan","2014-09-06",8.413
"The Guest","2014-09-17",7.953
"Laggies","2014-09-25",11.541
"Bad Country","2014-09-26",8.016
"Wolves","2014-08-28",6.19
"About Alex","2014-08-08",6.961
"Black or White","2014-09-06",11.841
"The One I Love","2014-08-08",7.724
"Life Itself","2014-07-04",7.17
"Leprechaun: Origins","2014-08-22",6.602
"Gemma Bovery","2014-09-10",7.156
"A Good Man","2014-08-19",6.574
"Turist","2014-08-15",6.637
"Kahlil Gibran's The Prophet","2014-09-06",7.839
"Wyrmwood: Road of the Dead","2014-09-19",8.226
"American Heist","2014-09-11",7.297
"These Final Hours","2014-07-31",8.338
"What We Did on Our Holiday","2014-09-26",7.701
"Cowspiracy: The Sustainability Secret","2014-07-01",8.756
"Boychoir","2014-09-04",9.164
"Hector and the Search for Happiness","2014-08-14",8.292
"思い出のマーニー","2014-07-19",9.177
"The Scribbler","2014-09-19",8.155
"The Possession of Michael King","2014-08-22",5.973
"And So It Goes","2014-07-20",8.605
"Felony","2014-08-28",7.614
"Une nouvelle amie","2014-09-06",5.3
"Ich seh, Ich seh","2014-08-29",6.636
"My Old Lady","2014-09-09",7.406
"Im Labyrinth des Schweigens","2014-09-06",5.882
"5 Flights Up","2014-09-05",7.025
"Rampage: Capital Punishment","2014-07-19",6.857
"Alien Outpost","2014-09-19",7.545
"Don't Blink","2014-09-18",6.593
"Falcon Rising","2014-09-05",8.005
"Honeymoon","2014-09-12",6.406
"El Niño","2014-08-29",6.041
"Mortadelo y Filemón contra Jimmy el Cachondo","2014-08-30",5.48
"Miasto 44","2014-07-30",5.567
"Elephant Song","2014-09-04",6.767
"Life After Beth","2014-08-15",6.136
"Preservation","2014-08-22",6.686
"The Pact II","2014-09-05",6.801
"When the Game Stands Tall","2014-08-22",7.145
"Before We Go","2014-09-11",7.93
"Phoenix","2014-09-25",6.677
"Sub Rosa","2014-08-28",7.94
"Paper Planes","2014-09-07",5.124
"3 Cœurs","2014-09-09",4.48
"The Remaining","2014-08-25",6.502
"Learning to Drive","2014-08-21",7.135
"The Face of an Angel","2014-09-06",7.544
"Savaged","2014-08-06",4.999
"Burying the Ex","2014-09-04",7.17
"STAND BY ME ドラえもん","2014-08-08",7.033
"That Sugar Film","2014-07-31",6.045
"The Inbetweeners 2","2014-08-06",7.693
"Beyond the Lights","2014-09-10",7.223
"Adult Beginners","2014-09-08",7.395
"White Settlers","2014-09-05",5.259
"TEKKEN: A Man Called X","2014-08-12",6.064
"Cymbeline","2014-09-03",7.035
"攻殻機動隊ARISE border: 4 Ghost Stands Alone","2014-09-06",3.75
"Sniper: Legacy","2014-09-29",4.131
"Puncture Wounds","2014-08-18",4.891
"Valley Uprising","2014-09-01",7.437
"Jarhead 2: Field of Fire","2014-08-14",5.638
"Respire","2014-09-04",4.903
"Miss Julie","2014-09-07",6.082
"Hippocrate","2014-09-03",5.131
"The Calling","2014-08-05",7.675
"Miss Meadows","2014-09-12",5.833
"Jim Jefferies: Bare","2014-08-29",6.083
"Lost Soul: The Doomed Journey of Richard Stanley's “Island of Dr. Moreau”","2014-08-24",5.586
"Colt 45","2014-08-06",5.825
"Jackie & Ryan","2014-09-01",5.697
"The Smell of Us","2014-08-27",3.052
"The Keeping Room","2014-09-25",5.663
"Future Shock! The Story of 2000AD","2014-09-19",2.654
"Scooby-Doo! Frankencreepy","2014-08-19",6.028
"Come Back to Me","2014-07-25",5.338
"Red Army","2014-08-13",5.813
"Messi","2014-09-06",6.208
"Musarañas","2014-09-26",6.909
"Der 7bte Zwerg","2014-09-24",2.397
"Jamie Marks Is Dead","2014-08-29",5.79
"The Riot Club","2014-09-19",8.424
"Les Combattants","2014-08-20",5.274
"Lilting","2014-08-07",5.317
"Réalité","2014-08-28",6.337
"Dinosaur 13","2014-08-15",5.336
"Shelter","2014-09-12",4.439
"Mercenaries","2014-08-05",5.767
"The Choking Game","2014-07-26",5.533
"Fastlife","2014-07-16",3.544
"To Be Takei","2014-08-22",4.76
"Les Vacances du Petit Nicolas","2014-07-09",6.727
"Not Cool","2014-09-23",4.983
"Le sel de la terre","2014-09-27",5.055
"Last Days in Vietnam","2014-09-05",5.617
"Time Out of Mind","2014-09-07",5.973
"Saint Laurent","2014-09-23",6.713
"Echoes","2014-07-05",5.513
"The Ganzfeld Haunting","2014-07-17",3.953
"신의 한 수","2014-07-03",4.622
"Wildlike","2014-09-25",5.164
"Дурак","2014-08-09",8.478
"The Fluffy Movie","2014-07-25",5.435
"TOKYO TRIBE","2014-08-30",4.605
"The Story of Frozen: Making a Disney Animated Classic","2014-09-15",3.597
"Ninja Apocalypse","2014-08-05",3.44
"By the Gun","2014-09-28",4.881
"Kick","2014-07-25",4.407
"The Song","2014-09-26",4.781
"Fort Bliss","2014-09-05",3.639
"Monty Python Live (Mostly)","2014-07-20",3.609
"Thomas & Friends: Tale of the Brave: The Movie","2014-09-01",3.599
"Zodiac","2014-08-16",5.047
"Magical Girl","2014-09-07",4.722
"군도: 민란의 시대","2014-07-23",3.748
"Dinosaur Island","2014-09-01",4.38
"My Mistress","2014-08-14",3.158
"해무","2014-08-13",3.911
