"name","release","popularity"
"Harry Potter and the Deathly Hallows: Part 2","2011-07-07",36.154
"Rise of the Planet of the Apes","2011-08-03",21.771
"Captain America: The First Avenger","2011-07-22",20.474
"Q","2011-09-14",21.241
"Samsara","2011-09-16",16.695
"Drive","2011-08-06",16.797
"The Smurfs","2011-07-29",14.423
"Warrior","2011-09-09",16.716
"Jackass 3.5","2011-08-03",12.1
"A Dangerous Method","2011-09-30",12.099
"Real Steel","2011-09-28",13.405
"Killer Elite","2011-09-23",9.366
"Conan the Barbarian","2011-08-17",13.79
"The Help","2011-08-09",15.269
"Friends with Benefits","2011-07-21",10.278
"Tinker Tailor Soldier Spy","2011-09-16",10.328
"Never Back Down 2: The Beatdown","2011-09-13",9.849
"Gli sfiorati","2011-09-09",10.3
"Serbuan maut","2011-09-08",13.461
"Seeking Justice","2011-09-02",9.911
"Cowboys & Aliens","2011-07-29",14.176
"La piel que habito","2011-08-17",11.446
"Killer Joe","2011-09-10",11.449
"Moneyball","2011-09-22",12.617
"Horrible Bosses","2011-07-08",11.344
"Abduction","2011-09-22",11.37
"Zookeeper","2011-07-06",10.289
"Crazy, Stupid, Love.","2011-07-29",12.928
"50/50","2011-09-30",14.247
"Take Shelter","2011-09-30",8.876
"Final Destination 5","2011-08-12",12.242
"Colombiana","2011-07-27",10.452
"The Change-Up","2011-08-05",10.034
"Barbie: Princess Charm School","2011-08-11",12.198
"The Caller","2011-08-26",7.492
"Shark Night 3D","2011-09-02",11.936
"Marvel One-Shot: The Consultant","2011-09-12",11.708
"Contagion","2011-09-08",13.065
"Blackthorn","2011-08-31",8.166
"The Descendants","2011-09-09",11.887
"Grave Encounters","2011-09-09",7.625
"Kill List","2011-09-02",7.155
"The Three Musketeers","2011-08-31",8.449
"The Awakening","2011-08-17",10.266
"The Ides of March","2011-09-24",11.133
"Monte Carlo","2011-07-01",10.415
"What's Your Number?","2011-09-30",8.501
"Dream House","2011-09-30",11.649
"コクリコ坂から","2011-07-16",10.495
"Puncture","2011-09-23",8.79
"Hick","2011-09-10",7.714
"Johnny English Reborn","2011-09-15",12.384
"A Cinderella Story: Once Upon a Song","2011-09-05",10.099
"Apollo 18","2011-07-20",9.346
"Margin Call","2011-09-28",10.175
"Spooky Buddies","2011-09-20",6.594
"Carnage","2011-09-16",11.683
"Batman: Year One","2011-09-27",8.243
"Phineas and Ferb the Movie: Across the 2nd Dimension","2011-08-05",10.12
"Margaret","2011-09-30",8.929
"30 Minutes or Less","2011-08-11",8.422
"Glee: The Concert Movie","2011-08-11",11.23
"Spy Kids: All the Time in the World","2011-08-18",7.767
"The Guard","2011-07-07",10.686
"You're Next","2011-09-10",11.063
"ज़िन्दगी ना मिलेगी दोबारा","2011-07-15",8.403
"The Day","2011-09-15",7.171
"白蛇传说","2011-09-27",7.132
"Red State","2011-08-19",9.188
"Jeff, Who Lives at Home","2011-09-13",7.647
"Barbie: A Perfect Christmas","2011-07-01",9.924
"Weekend","2011-09-22",8.482
"Another Earth","2011-07-22",9.203
"Machine Gun Preacher","2011-09-23",8.363
"Your Sister's Sister","2011-09-11",7.275
"Lego Star Wars: The Padawan Menace","2011-07-22",6.072
"I Don't Know How She Does It","2011-09-16",7.951
"Horrid Henry: The Movie","2011-07-29",6.109
"Assassination Games","2011-07-28",8.587
"The Innkeepers","2011-08-18",8.756
"The Oranges","2011-09-09",6.673
"We Need to Talk About Kevin","2011-09-28",9.181
"Twixt","2011-09-10",8.113
"Kevin Hart: Laugh at My Pain","2011-09-09",7.979
"Intruders","2011-09-12",9.157
"Le Havre","2011-09-08",6.812
"Straw Dogs","2011-09-16",7.874
"Muži v naději","2011-08-25",6.401
"Perfect Sense","2011-09-29",8.274
