"name","release","popularity"
"The Martian","2015-09-30",30.556
"Self/less","2015-07-10",22.79
"Ant-Man","2015-07-14",29.834
"Goosebumps","2015-08-05",20.067
"Pixels","2015-07-16",20.94
"Mission: Impossible - Rogue Nation","2015-07-23",18.859
"4Got10","2015-09-11",11.905
"Sicario","2015-09-17",19.499
"Trainwreck","2015-07-17",20.53
"Maze Runner: The Scorch Trials","2015-09-09",17.181
"Hotel Transylvania 2","2015-09-21",13.643
"Black Mass","2015-09-04",12.36
"Legend","2015-09-09",10.803
"The Transporter Refueled","2015-09-03",14.209
"The Man from U.N.C.L.E.","2015-08-13",13.112
"The 33","2015-08-06",8.888
"동창회의 목적","2015-08-06",16.448
"Straight Outta Compton","2015-08-13",12.391
"Everest","2015-09-10",15.539
"Fantastic Four","2015-08-05",12.98
"American Ultra","2015-08-19",11.129
"Vacation","2015-07-28",15.173
"The Lobster","2015-07-10",15.057
"Le tout nouveau testament","2015-09-02",8.436
"No Escape","2015-08-26",9.655
"Pan","2015-09-24",14.527
"The Vatican Tapes","2015-07-24",9.046
"Hitman: Agent 47","2015-08-20",11.742
"Momentum","2015-08-01",7.263
"Solace","2015-09-03",14.83
"젊은 엄마3","2015-09-03",11.277
"Descendants","2015-07-31",10.28
"Amy","2015-07-03",10.581
"The Intern","2015-09-24",15.095
"The Little Prince","2015-07-29",13.801
"Sinister 2","2015-08-19",9.582
"We Are Your Friends","2015-08-26",9.9
"ポケモン・ザ・ムービーXY 光輪の超魔神 フーパ","2015-07-18",9.383
"Ricki and the Flash","2015-07-10",10.762
"The Gallows","2015-07-10",9.342
"Hardcore Henry","2015-09-12",8.783
"Pay the Ghost","2015-09-16",7.699
"Eye in the Sky","2015-09-11",9.67
"Deathgasm","2015-08-28",8.282
"Macbeth","2015-08-16",7.856
"बजरंगी भाईजान","2015-07-17",6.545
"엄마친구","2015-08-20",10.646
"Equals","2015-07-15",8.204
"The Walk","2015-09-30",10.503
"La belle saison","2015-08-19",10.926
"刺客聶隱娘","2015-08-27",8.022
"Our Brand Is Crisis","2015-09-11",11.274
"Forsaken","2015-09-16",8.081
"Pawn Sacrifice","2015-09-16",8.564
"The Visit","2015-09-10",13.009
"The Gift","2015-07-30",10.333
"Captive","2015-09-17",7.961
"Extinction","2015-08-07",8.031
"The Diary of a Teenage Girl","2015-08-07",10.279
"The End of the Tour","2015-07-31",6.98
"7 Days in Hell","2015-07-11",8.259
"西游记之大圣归来","2015-07-10",8.264
"Z for Zachariah","2015-08-13",7.379
"Backtrack","2015-07-25",7.256
"Cop Car","2015-08-07",8.576
"Naomi and Ely's No Kiss List","2015-09-18",7.413
"Barbie in Rock 'N Royals","2015-08-13",10.114
"The Invitation","2015-08-05",9.726
"Queen of the Desert","2015-09-03",10.331
"45 Years","2015-08-04",9.708
"The Perfect Guy","2015-09-11",6.657
"A Perfect Day","2015-08-28",8.583
"Justice League: Gods and Monsters","2015-07-28",9.223
"Some Kind of Beautiful","2015-07-16",8.666
"12 Rounds 3: Lockdown","2015-09-11",5.836
"Bølgen","2015-08-28",8.099
"Mistress America","2015-08-14",7.008
"Cartel Land","2015-07-03",11.482
"The Runner","2015-08-07",8.345
"Life","2015-07-24",8.515
"Turbo Kid","2015-08-14",7.171
"バケモノの子","2015-07-11",11.207
"Irrational Man","2015-07-17",9.638
"A Walk in the Woods","2015-09-02",7.233
"Sharknado 3: Oh Hell No!","2015-07-22",7.936
"Visions","2015-08-28",8.214
"Southbound","2015-09-17",8.293
"War Room","2015-08-28",7.72
"Beasts of No Nation","2015-09-11",8.826
"Synchronicity","2015-07-22",7.37
"Anacleto: Agente secreto","2015-09-04",5.513
"Hidden","2015-09-15",9.416
"Steve Jobs: The Man in the Machine","2015-08-07",7.753
"Curve","2015-08-31",5.732
"Strangerland","2015-07-01",6.469
"Non essere cattivo","2015-09-08",7.276
"Lila & Eve","2015-07-31",7.114
"Hitchcock/Truffaut","2015-09-04",7.989
"捉妖记","2015-07-16",5.631
"Regular Show: The Movie","2015-09-01",5.614
"A Christmas Horror Story","2015-07-20",7.188
"Atrapa la bandera","2015-08-28",6.301
"Septembers of Shiraz","2015-09-15",4.301
"Les Profs 2","2015-07-01",6.132
"Air","2015-08-14",6.613
"Holding the Man","2015-08-27",8.355
"Zipper","2015-08-28",9.715
"How to Plan an Orgy in a Small Town","2015-09-19",5.372
"10,000 Saints","2015-08-14",8.067
"뷰티 인사이드","2015-08-20",6.598
"6 Years","2015-08-18",5.949
"El desconocido","2015-09-21",6.57
"Unity","2015-08-12",6.374
"Mississippi Grind","2015-07-04",7.533
"The Stanford Prison Experiment","2015-07-17",8.025
"Minimalism: A Documentary About the Important Things","2015-09-26",8.175
"Lego DC Comics Super Heroes: Justice League – Attack of the Legion of Doom!","2015-08-25",6.354
"Scooby-Doo! and Kiss: Rock and Roll Mystery","2015-07-10",5.979
"Jenny's Wedding","2015-07-31",7.325
"Tangerine","2015-07-10",7.195
"Maryland","2015-09-30",6.898
"Contracted: Phase II","2015-07-05",6.254
"Demetri Martin: Live (At The Time)","2015-08-14",7.245
"Miss You Already","2015-09-12",7.037
"My Little Pony: Equestria Girls - Friendship Games","2015-09-17",5.746
"Born to Be Blue","2015-09-13",7.403
"Marguerite","2015-09-16",6.36
"Amnesiac","2015-08-14",6.312
"The Program","2015-09-16",7.328
"Magic Mike XXL","2015-07-01",9.334
"Blinky Bill the Movie","2015-08-21",3.901
"Bloodsucking Bastards","2015-09-04",5.844
"암살","2015-07-22",5.445
"El clan","2015-08-13",6.22
"Dheepan","2015-08-26",5.087
"Antigang","2015-08-19",6.402
"Batman Unlimited: Monster Mayhem","2015-08-18",6.504
"Human","2015-09-12",5.26
"Janis: Little Girl Blue","2015-09-09",7.163
"Most Likely to Die","2015-08-30",5.904
"베테랑","2015-08-05",5.422
"Bahubali: The Beginning","2015-07-10",7.628
"Joe Dirt 2: Beautiful Loser","2015-07-16",5.642
"दृश्यम्","2015-07-30",8.016
"여자전쟁: 비열한 거래","2015-09-27",10.907
"Twinsters","2015-07-17",7.569
"Best of Enemies","2015-07-31",8.107
"He Named Me Malala","2015-09-12",7.613
"道士下山","2015-07-03",3.825
"The Legend of Barney Thomson","2015-07-24",7.031
"Tiger House","2015-08-24",5.521
"Une famille à louer","2015-08-19",6.778
