"name","release","popularity"
"The Dark Knight Rises","2012-07-16",36.707
"Hope Springs","2012-08-07",12.654
"The Bourne Legacy","2012-08-08",17.961
"Secret of the Wings","2012-08-17",16.552
"Hotel Transylvania","2012-09-20",16.441
"Batman: The Dark Knight Returns, Part 1","2012-09-06",21.671
"The Perks of Being a Wallflower","2012-09-20",13.013
"Pitch Perfect","2012-09-28",16.302
"Dredd","2012-08-28",14.725
"Looper","2012-09-26",17.239
"Taken 2","2012-09-27",15.892
"The Expendables 2","2012-08-08",14.734
"Barbie: The Princess & The Popstar","2012-09-13",11.99
"Lawless","2012-08-29",11.833
"Step Up Revolution","2012-07-26",13.627
"おおかみこどもの雨と雪","2012-07-21",9.82
"The Words","2012-09-07",9.349
"Aftershock","2012-09-12",7.523
"Total Recall","2012-08-02",17.231
"House at the End of the Street","2012-09-21",10.892
"An American Girl: McKenna Shoots for the Stars","2012-07-14",11.776
"Stolen","2012-09-06",8.446
"The Possession","2012-08-30",8.841
"The Master","2012-09-07",14.742
"Lo imposible","2012-09-09",10.069
"Killing Them Softly","2012-07-30",11.741
"Jagten","2012-09-24",9.485
"A Turtle's Tale 2: Sammy's Escape from Paradise","2012-08-15",11.287
"The Company You Keep","2012-09-06",9.158
"Stuck in Love","2012-09-09",10.863
"End of Watch","2012-09-20",10.74
"Biohazard: Damnation","2012-09-25",12.122
"360","2012-07-25",8.69
"Seven Psychopaths","2012-09-07",9.532
"Ruby Sparks","2012-07-25",7.743
"Savages","2012-07-06",12.12
"ParaNorman","2012-08-03",13.931
"Starship Troopers: Invasion","2012-07-21",10.764
"От винта 3D","2012-08-08",5.032
"The Iceman","2012-09-01",8.782
"The Watch","2012-07-26",10.359
"Las aventuras de Tadeo Jones","2012-08-10",8.735
"V/H/S","2012-07-28",8.009
"Byzantium","2012-09-09",7.185
"Anna Karenina","2012-09-06",9.575
"Silver Linings Playbook","2012-09-08",11.307
"Amour","2012-07-01",9.732
"Disconnect","2012-09-11",8.623
"The Lords of Salem","2012-09-10",8.802
"Erased","2012-09-27",7.989
"Diary of a Wimpy Kid: Dog Days","2012-08-02",10.125
"The Collection","2012-09-21",9.021
"The Sweeney","2012-09-11",8.277
"Bait","2012-09-05",7.899
"Hit & Run","2012-08-22",8.799
"The Paperboy","2012-09-14",8.077
"Trouble with the Curve","2012-09-21",8.876
"Upside Down","2012-09-27",7.915
"太极","2012-09-27",5.532
"George Harrison: Living in the Material World","2012-09-27",8.298
"Bachelorette","2012-08-06",7.574
"Fire with Fire","2012-08-31",12.283
"The Babymakers","2012-08-03",9.707
"Wrong","2012-09-05",8.291
"Kon-Tiki","2012-08-24",6.68
"Mac & Devin Go to High School","2012-07-03",7.325
"The Magic of Belle Isle","2012-07-06",6.637
"Truth or Dare","2012-08-05",7.882
"Dans la maison","2012-09-26",8.764
