"name","release","popularity"
"Frozen","2013-11-27",48.928
"The Wolf of Wall Street","2013-12-25",26.655
"Thor: The Dark World","2013-10-29",32.585
"The Hobbit: The Desolation of Smaug","2013-12-11",25.441
"Nymphomaniac: Vol. I","2013-12-25",13.872
"47 Ronin","2013-12-06",16.327
"Her","2013-12-18",18.098
"The Hunger Games: Catching Fire","2013-11-15",16.036
"Nymphomaniac: Vol. II","2013-12-25",12.686
"The Secret Life of Walter Mitty","2013-12-18",12.832
"Escape Plan","2013-10-09",12.514
"Gimme Shelter","2013-10-17",11.573
"Monster High: 13 Wishes","2013-10-08",12.817
"Lone Survivor","2013-12-24",12.311
"12 Years a Slave","2013-10-18",17.951
"Ender's Game","2013-10-23",13.799
"Gravity","2013-10-03",16.864
"American Hustle","2013-12-12",15.503
"Anchorman 2: The Legend Continues","2013-12-18",11.567
"Homefront","2013-11-12",13.313
"Captain Phillips","2013-10-10",10.845
"Inside Llewyn Davis","2013-10-13",10.134
"Carrie","2013-10-16",13.516
"Out of the Furnace","2013-12-06",12.962
"Labor Day","2013-12-27",9.515
"Enemy","2013-12-31",14.877
"Curse of Chucky","2013-10-04",10.449
"Walking with Dinosaurs","2013-12-18",9.653
"Doctor Who: The Day of the Doctor","2013-11-23",9.986
"Dallas Buyers Club","2013-11-17",13.867
"The Counselor","2013-10-25",10.718
"Free Birds","2013-10-30",9.395
"Jackass Presents: Bad Grandpa","2013-10-22",8.482
"August: Osage County","2013-12-26",10.913
"The Book Thief","2013-11-08",9.22
"かぐや姫の物語","2013-11-23",10.182
"Saving Mr. Banks","2013-11-16",10.364
"The Physician","2013-12-25",9.505
"Kvinden i buret","2013-10-03",10.007
"Delivery Man","2013-10-10",9.44
"Haunter","2013-10-25",10.006
"Oldboy","2013-11-14",10.539
"The Railway Man","2013-12-02",9.801
"Fack ju Göhte","2013-11-07",12.276
"Last Vegas","2013-10-31",9.457
"A Case of You","2013-11-06",8.022
"Sweetwater","2013-10-09",7.941
"Tarzan","2013-10-17",8.816
"Ninja: Shadow of a Tear","2013-12-27",8.485
"Only Lovers Left Alive","2013-12-12",9.54
"Enemies Closer","2013-12-04",6.977
"Minions: Puppy","2013-12-10",6.955
"A.C.O.D.","2013-10-03",6.697
"Wer","2013-11-16",6.627
"The Fifth Estate","2013-10-11",6.808
"Grudge Match","2013-12-25",8.718
"The House of Magic","2013-12-24",9.773
"Pete's Christmas","2013-11-16",6.26
"Philomena","2013-11-01",10.427
"Big Ass Spider!","2013-10-17",7.466
"Quai d'Orsay","2013-11-06",5.351
"The Hunters","2013-10-25",9.836
"劇場版 魔法少女まどか☆マギカ[新編]叛逆の物語","2013-10-26",5.974
"En solitaire","2013-11-05",5.769
"Dom Hemingway","2013-11-15",8.27
"ルパン三世VS名探偵コナン THE MOVIE","2013-12-07",9.328
"Iron Man & Hulk: Heroes United","2013-12-03",7.312
"警察故事2013","2013-12-24",8.212
"Hours","2013-11-29",8.786
"Mindscape","2013-10-13",10.558
"Saving Santa","2013-11-05",6.284
"CBGB","2013-10-11",9.09
"Mandela: Long Walk to Freedom","2013-12-06",7.614
"Wrong Cops","2013-12-18",7.197
"The Young and Prodigious T.S. Spivet","2013-10-16",9.098
"The Adventurer: The Curse of the Midas Box","2013-12-05",7.474
"天注定","2013-10-04",7.204
"Minions: Training Wheels","2013-12-10",8.059
"Zulu","2013-12-04",7.771
"Eyjafjallajökull","2013-10-02",6.287
"ต้มยำกุ้ง 2","2013-10-23",8.172
"Minuscule - La vallée des fourmis perdues","2013-11-17",6.744
"Hundraåringen som klev ut genom fönstret och försvann","2013-12-25",7.357
"The Best Man Holiday","2013-11-15",7.77
"The Unbelievers","2013-12-13",7.997
"Dead in Tombstone","2013-10-01",8.177
"Gåten Ragnarok","2013-11-11",5.671
"La Vie d'Adèle - Chapitres 1 et 2","2013-10-09",6.188
"Le Week-End","2013-10-04",5.57
"All Cheerleaders Die","2013-10-31",5.687
"The Trials of Cate McCall","2013-11-28",8.369
"The Right Kind of Wrong","2013-10-11",7.738
"Justin Bieber: Believe","2013-12-19",7.972
"Another Me","2013-11-15",6.651
"サカサマのパテマ","2013-11-09",7.053
"An Adventure in Space and Time","2013-11-21",5.908
"Parkland","2013-10-02",8.305
"A Very Merry Mix-Up","2013-11-10",5.337
"Panic in the Mailroom","2013-12-10",5.641
"The Den","2013-12-12",6.848
"Ida","2013-10-25",6.765
"Patrick","2013-10-15",7.33
"Tim's Vermeer","2013-12-06",6.817
"The Class Of '92","2013-12-01",5.18
"The Harvest","2013-10-19",6.205
"Skinwalker Ranch","2013-10-30",5.343
"微交少女","2013-10-29",2.888
"Grand Piano","2013-10-11",5.89
"Angels Sing","2013-10-19",4.3
"9 mois ferme","2013-10-16",5.139
"Angélique","2013-12-18",4.415
"Hellbenders","2013-10-18",4.221
"In the Name of the King III","2013-12-27",4.954
"16 Ans ou Presque","2013-12-18",4.9
