"name","release","popularity"
"Mirror Mirror","2012-03-15",19.661
"The Lorax","2012-03-01",20.321
"Journey 2: The Mysterious Island","2012-01-19",15.352
"21 Jump Street","2012-03-14",15.609
"Puss in Boots: The Three Diablos","2012-02-07",15.401
"The Vow","2012-02-05",11.138
"Wrath of the Titans","2012-03-27",12.757
"Safe House","2012-02-09",47.651
"John Carter","2012-03-07",18.559
"Project X","2012-03-01",12.566
"Man on a Ledge","2012-01-13",11.133
"The Hunger Games","2012-03-12",14.075
"Underworld: Awakening","2012-01-19",11.269
"LOL","2012-02-10",12.64
"Get the Gringo","2012-03-15",12.489
"This Means War","2012-02-14",12.521
"The Pirates! In an Adventure with Scientists!","2012-03-12",9.591
"Chronicle","2012-02-01",14.677
"Tangled Ever After","2012-01-13",10.382
"Eden","2012-03-11",7.031
"খোকাবাবু","2012-01-12",11.914
"Contraband","2012-01-12",13.173
"[REC]³ Génesis","2012-03-30",10.047
"Barbie in A Mermaid Tale 2","2012-02-23",8.884
"The Woman in Black","2012-02-03",10.091
"Bel Ami","2012-03-09",7.176
"Iron Sky","2012-03-10",10.85
"Salmon Fishing in the Yemen","2012-03-09",9.883
"Friends with Kids","2012-03-09",9.786
"Act of Valor","2012-02-24",10.002
"Sinister","2012-03-29",11.741
"Justice League: Doom","2012-02-28",9.414
"Haywire","2012-01-18",10.632
"Red Tails","2012-01-19",8.377
"StreetDance 2","2012-03-30",10.232
"Goon","2012-01-06",8.44
"The Tall Man","2012-03-19",7.836
"The Grey","2012-01-26",11.189
"En kongelig affære","2012-03-29",7.938
"The Raven","2012-03-09",10.039
"The Scorpion King 3: Battle for Redemption","2012-01-17",9.413
"The Samaritan","2012-03-02",7.931
"The Courier","2012-03-29",8.108
"John Dies at the End","2012-01-23",9.323
"We Are Legion: The Story of the Hacktivists","2012-01-20",8.266
"Gone","2012-02-23",8.957
"Dark Tide","2012-03-28",7.339
"Red Lights","2012-03-02",7.991
"Radio Rebel","2012-02-17",7.151
"Into the White","2012-03-09",8.255
"Joyful Noise","2012-01-13",8.831
"Breaking Wind","2012-03-27",7.72
"Brake","2012-03-22",7.144
"ATM","2012-02-17",7.208
"Frenemies","2012-01-13",7.509
"Columbus Circle","2012-03-05",6.416
"Wanderlust","2012-02-23",10.849
"Türkisch für Anfänger","2012-03-14",7.049
"One for the Money","2012-01-26",8.084
"A Thousand Words","2012-03-07",8.08
"댄싱퀸","2012-01-18",4.897
"Les infidèles","2012-02-29",7.1
"The Devil Inside","2012-01-06",8.356
"About Cherry","2012-02-14",7.697
"Shadow Dancer","2012-02-12",6.111
"ベルセルク 黄金時代篇I 覇王の卵","2012-02-03",7.13
"I Am Bruce Lee","2012-02-09",7.761
"Black Rock","2012-01-21",5.984
"Big Miracle","2012-02-02",8.06
"2 Days in New York","2012-03-28",6.489
"Treasure Buddies","2012-01-31",5.899
"Casa De Mi Padre","2012-03-15",7.913
"Cleanskin","2012-03-08",7.027
"Les Adieux à la reine","2012-03-21",6.163
"Une vie meilleure","2012-01-03",5.067
"범죄와의 전쟁","2012-02-02",6.72
"Being Flynn","2012-03-02",8.542
"The Invisible War","2012-01-20",7.157
"La Vérité si je Mens ! 3","2012-01-31",5.701
"When the Lights Went Out","2012-01-31",6.129
"Immaturi - Il viaggio","2012-01-04",7.317
"Game Change","2012-03-09",6.944
"Extracted","2012-03-10",5.689
"Achtste Groepers Huilen Niet","2012-02-15",7.359
"점박이 : 한반도의 공룡 3D","2012-01-26",4.144
"Tim and Eric's Billion Dollar Movie","2012-03-02",5.469
"The Legend of Mor'du","2012-01-01",5.505
"Magnifica presenza","2012-03-16",5.958
"รักสุดท้ายป้ายหน้า","2012-01-25",2.095
"Barbara","2012-03-08",6.183
"Fetih 1453","2012-02-16",5.58
"Ben 10: Destroy All Aliens","2012-03-11",4.243
"ACAB - All Cops Are Bastards","2012-01-27",5.868
"Good Deeds","2012-02-23",5.766
"Transit","2012-01-02",7.372
"Tooth Fairy 2","2012-03-06",6.309
"Celebrity Sex Tape","2012-02-02",6.015
"Small Apartments","2012-03-10",5.426
"अग्निपथ","2012-01-25",5.896
"Marina Abramović: The Artist Is Present","2012-01-01",6.476
"Found","2012-03-30",6.105
"Kahaani","2012-03-08",6.274
"Thin Ice","2012-02-17",7.643
"Playback","2012-03-09",6.746
"Beneath the Darkness","2012-01-06",6.174
"Citadel","2012-03-11",4.85
"Comme un chef","2012-03-07",6.671
"Outpost: Black Sun","2012-01-01",5.39
"The Outback","2012-01-12",4.166
"화차","2012-03-08",3.427
"Mai Stati Uniti","2012-01-03",5.591
"Big Time Movie","2012-03-10",4.5
"Rebelle","2012-02-17",4.33
"Grimm's Snow White","2012-03-13",5.045
"Electrick Children","2012-02-10",5.371
"Jurassic Attack","2012-02-22",4.769
"That Guy... Who Was in That Thing","2012-01-01",5.151
"John Mulaney: New in Town","2012-01-31",5.891
"Scooby-Doo! Music of the Vampire","2012-03-13",5.723
"The Corridor","2012-03-30",3.386
"Benvenuti al Nord","2012-01-18",5.783
"Com'è bello far l'amore","2012-02-10",5.151
"L'enfant d'en haut","2012-02-13",4.356
"Buona giornata","2012-03-30",5.7
"Klip","2012-01-27",4.045
"Fünf Freunde","2012-01-25",4.202
"Snow White: A Deadly Summer","2012-03-16",4.282
"Kapringen","2012-02-26",5.934
"Fresh Guacamole","2012-03-02",4.627
"2 Coelhos","2012-01-20",3.877
"Collision Course","2012-03-27",3.399
"건축학개론","2012-03-22",3.276
"A Little Bit Zombie","2012-02-03",4.395
"Shut Up and Play the Hits","2012-01-22",4.445
"Hamilton - I nationens intresse","2012-03-02",3.64
"A Taste of Romance","2012-01-14",3.478
"Wyatt Earp's Revenge","2012-03-06",3.595
"Airborne","2012-03-15",4.889
"Doodslag","2012-01-12",1.802
"Mince alors !","2012-03-27",4.183
"CLONED: The Recreator Chronicles","2012-02-16",5.26
"Abominable Christmas","2012-01-01",2.869
"Posti in piedi in paradiso","2012-03-02",5.05
"The Pregnancy Project","2012-01-28",3.715
"Monster High: Escape from Skull Shores","2012-02-16",3.927
"Romanzo di una strage","2012-03-30",7.196
"Ma première fois","2012-01-18",6.061
"28 Hotel Rooms","2012-01-21",4.518
"Dragon Age: Dawn of the Seeker","2012-02-11",4.572
"Love Never Dies","2012-02-08",6.041
"Drew Peterson: Untouchable","2012-01-21",3.288
"Daddy's Little Girl","2012-01-01",3.792
"Keep the Lights On","2012-02-25",4.981
"High Road","2012-03-06",3.674
"Comes a Bright Day","2012-02-12",4.318
"Breathless","2012-01-04",4.804
"For Ellen","2012-02-12",4.051
"Attack of the 50 Foot Cheerleader","2012-01-01",4.474
"Promoción Fantasma","2012-02-03",5.146
"Ecstasy of Order: The Tetris Masters","2012-02-23",4.911
"O Som ao Redor","2012-02-01",6.115
"Crowsnest","2012-01-01",4.599
"Cloclo","2012-03-14",5.927
"Rogue River","2012-01-16",5.854
"하울링","2012-02-16",3.741
"A Place at the Table","2012-03-22",4.035
"Inara, the Jungle Girl","2012-01-26",3.149
"Roadie","2012-01-06",4.676
"Seattle Superstorm","2012-03-31",3.931
"I, Anna","2012-03-03",4.176
"The Teenie Weenie Bikini Squad","2012-03-03",2.849
"Kiss at Pine Lake","2012-01-01",3.893
"My Super Psycho Sweet 16: Part 3","2012-03-13",4.445
"逆戰","2012-01-19",3.575
"Any Questions for Ben?","2012-02-09",2.191
"Black & White & Sex","2012-01-27",3.266
"È nata una Star?","2012-03-23",4.572
"Beyond","2012-03-29",3.678
"Ti stimo fratello","2012-01-18",3.785
"Girls Gone Dead","2012-03-28",3.776
"Curfew","2012-01-01",4.035
"Bending The Rules","2012-03-09",4.267
"White Frog","2012-03-07",3.697
"The Mark","2012-01-01",2.606
"Unicorn City","2012-02-24",2.848
"Thale","2012-02-16",5.48
"Space Junk 3D","2012-01-14",2.707
"Kid-Thing","2012-01-23",2.024
"POV～呪われたフィルム～","2012-02-18",2.117
"Portrait of a Zombie","2012-03-03",1.869
"The World Before Her","2012-03-11",4.098
"Sexting in Suburbia","2012-01-14",2.634
"Ta av Mig","2012-03-29",3.476
"Labyrint","2012-01-12",0.941
"Axed","2012-02-27",3.053
"Shuffle","2012-03-20",2.664
"3","2012-03-30",2.797
"Inside","2012-01-11",2.688
"Night of the Templar","2012-01-01",4.037
"Best Laid Plans","2012-02-03",2.761
"நண்பன்","2012-01-13",2.918
"The Fall of the Essex Boys","2012-02-07",2.858
"Leprechaun's Revenge","2012-03-17",2.861
"Iron Maiden: Behind the Beast","2012-03-26",2.738
"Тот ещё Карлосон!","2012-03-15",3.991
"Walking the Halls","2012-01-07",2.739
"Loosies","2012-02-01",5.726
"Aziz Ansari: Dangerously Delicious","2012-03-20",3.294
"WitchSlayer Gretl","2012-02-25",3.014
"Hemel","2012-01-29",2.472
"Battle Force","2012-02-09",2.852
"Cousin Ben Troop Screening","2012-01-01",3.085
"8 Minutes Idle","2012-03-29",2.875
"Power Rangers Samurai: Monster Bash","2012-03-09",3.088
"एक मैं और एक तू","2012-02-10",2.786
"Nazywaj mnie Kuchu","2012-02-11",3.048
"大追捕","2012-03-15",2.944
"Blue-Eyed Butcher","2012-03-03",3.505
"The Secret Policeman's Ball","2012-03-04",2.358
"Pieces of Talent","2012-01-01",3.777
"Osombie","2012-01-01",4.8
"10 jours en or","2012-01-11",2.473
"Мамы","2012-03-01",2.037
"Titanoboa: Monster Snake","2012-03-28",4.011
"1 Out of 7","2012-03-09",3.834
"Bye Bye Blondie","2012-03-21",2.313
"Sebastian Maniscalco: What's Wrong with People?","2012-01-05",2.217
"Air Collision","2012-03-27",4.495
"Four Horsemen","2012-03-14",3.052
"Mixed Kebab","2012-02-29",3.391
"Róża","2012-02-03",2.09
"Zarafa","2012-01-25",2.154
"Sing Your Song","2012-01-13",2.66
"Die vierte Macht","2012-03-08",1.498
"Daddy, I'm A Zombie","2012-01-10",3.167
"Cesare deve morire","2012-02-11",2.624
"愛","2012-02-14",2.401
"Taped","2012-02-23",2.578
"Dictado","2012-03-09",2.029
"Dysfunctional Friends","2012-02-03",2.68
"Svartur á leik","2012-03-11",2.537
"బిజినెస్ మాన్","2012-01-13",2.664
"映画ドラえもん のび太と奇跡の島 ～アニマル アドベンチャー～","2012-03-03",3.551
"Nina Conti: Her Master's Voice","2012-03-11",4.246
"Adventures in Lalaloopsy Land: The Search for Pillow","2012-03-20",2.905
"Dreamworld","2012-03-09",1.889
"Big Easy Express","2012-03-17",3.263
"Russendisko","2012-03-28",2.612
"Faccia d'angelo","2012-01-01",1.83
"Tere Naal Love Ho Gaya","2012-02-24",2.013
"38 témoins","2012-03-14",2.08
"The Sleeper","2012-01-31",2.886
"Dollhouse","2012-03-10",1.999
"Are All Men Pedophiles?","2012-03-02",3.219
"Morgan","2012-01-07",2.707
"Sunset Strip","2012-03-16",4.24
"Die Unsichtbare","2012-02-09",2.162
"The Girl","2012-01-15",3.501
"Nobels testamente","2012-03-02",2.989
"10 regole per fare innamorare","2012-03-16",2.831
"The Christmas Consultant","2012-01-01",3.138
"Bones Brigade: An Autobiography","2012-01-21",2.168
"9/11: Explosive Evidence: Experts Speak Out","2012-01-01",2.318
"The Doors: Mr. Mojo Risin' - The Story of LA Woman","2012-01-24",2.734
"Ambrosia","2012-02-04",2.183
"Die Wand","2012-02-12",3.327
"Hulluna Saraan","2012-01-01",2.155
"Zenne Dancer","2012-01-13",1.307
"Return","2012-02-10",3.581
"La montaña rusa","2012-03-15",3.196
"Black Forest","2012-02-24",4.106
"The Last Fall","2012-03-09",2.417
"Joven y alocada","2012-03-29",3.09
"Hans Kloss. Stawka większa niż śmierć","2012-03-16",4.238
"The Falls","2012-01-12",4.373
"Hvidsten gruppen","2012-03-01",2.478
"Tabu","2012-02-14",4.04
"Камень","2012-01-19",2.087
"Park Avenue: Money, Power & The American Dream","2012-01-01",2.235
"Sun Don't Shine","2012-03-10",2.725
"16-love","2012-01-20",2.52
"Ancient Alien Question: From UFOs to Extraterrestrial Visitations","2012-01-01",2.2
"We'll Take Manhattan","2012-01-26",2.604
"I Kissed a Vampire","2012-03-30",2.277
"Devil's Bridge","2012-03-13",2.52
"Battleground","2012-01-01",3.423
"Август. Восьмого","2012-02-22",2.674
"Die Rache der Wanderhure","2012-02-27",2.451
"Agent Vinod","2012-03-23",1.766
"The Sacred","2012-01-01",2.707
"Hard Boiled Sweets","2012-03-09",2.067
"Secrets of Eden","2012-02-04",2.665
"Return of the Killer Shrews","2012-01-01",3.381
"Creep Van","2012-03-09",2.282
"We’re Not Broke","2012-01-19",2.064
"Arcadia","2012-02-13",3.258
"Λάρισα Εμπιστευτικό","2012-01-03",2.206
"Paradise or Oblivion","2012-01-01",1.413
"Players","2012-01-06",1.873
"Apostle Peter and the Last Supper","2012-02-20",2.913
"Deviation","2012-02-24",1.539
"Gayby","2012-01-01",2.421
"Where The Dead Go to Die","2012-02-01",2.926
"The Skinny","2012-02-10",2.363
"My Brother the Devil","2012-01-22",3.055
"Eldorado","2012-01-30",1.957
"Bindlestiffs","2012-01-22",2.478
"Dans la Tourmente","2012-01-11",1.372
"La Vie d'une autre","2012-02-14",3.782
"8 первых свиданий","2012-03-08",2.253
"ഓര്‍ഡിനറി","2012-03-17",1.856
