"name","release","popularity"
"Pirates of the Caribbean: On Stranger Tides","2011-05-14",24.188
"Thor","2011-04-21",32.513
"Cars 2","2011-06-11",19.393
"Rio","2011-04-03",15.569
"Hanna","2011-04-07",15.684
"Kung Fu Panda 2","2011-05-25",15.238
"The Hangover Part II","2011-05-25",13.712
"Green Lantern","2011-06-16",14.518
"Bad Teacher","2011-05-16",12.324
"Scream 4","2011-04-11",12.88
"Beginners","2011-06-09",10.855
"Priest","2011-05-05",12.01
"Winnie the Pooh","2011-04-13",12.07
"Honey 2","2011-06-23",10.912
"Blitz","2011-05-20",11.922
"2012: Ice Age","2011-06-27",7.705
"Green Lantern: Emerald Knights","2011-04-09",9.459
"The Artist","2011-06-26",13.051
"Family Guy Presents: It's a Trap!","2011-05-22",8.555
"The Debt","2011-06-15",11.709
"Hawaiian Vacation","2011-06-16",9.285
"Bridesmaids","2011-05-13",10.994
"3D肉蒲團之極樂寶鑑","2011-04-14",18.624
"African Cats","2011-04-22",11.123
"Soul Surfer","2011-04-08",7.207
"Mr. Popper's Penguins","2011-06-17",8.83
"Lemonade Mouth","2011-04-15",9.06
"Midnight in Paris","2011-05-11",14.337
"Melancholia","2011-05-26",9.931
"Sharpay's Fabulous Adventure","2011-04-19",11.756
"Detachment","2011-04-24",11.611
"Everything Must Go","2011-05-13",8.34
"The Tree of Life","2011-05-18",11.908
"The Good Doctor","2011-04-23",7.746
"Quarantine 2: Terminal","2011-06-16",7.425
"Elephant White","2011-05-17",8.377
"The Greatest Movie Ever Sold","2011-04-22",8.773
"Super 8","2011-06-08",13.082
"The Tunnel","2011-05-19",8.265
"Hoodwinked Too! Hood VS. Evil","2011-04-29",8.663
"Your Highness","2011-04-08",8.563
"A Lonely Place to Die","2011-04-09",8.744
"Le Gamin au vélo","2011-05-18",6.484
"Prom","2011-04-29",9.179
"Sleeping Beauty","2011-06-10",9.917
"The Ledge","2011-05-06",7.763
"The Art of Getting By","2011-06-17",8.867
"Hysteria","2011-06-06",7.933
"5 Days of War","2011-04-14",7.394
"La Proie","2011-04-12",6.079
"Blue Crush 2","2011-06-07",6.459
"Age of Heroes","2011-05-19",6.06
"Love, Wedding, Marriage","2011-06-03",6.972
"Sniper: Reloaded","2011-04-26",7.228
"Jumping the Broom","2011-05-06",7.664
"Jiro Dreams of Sushi","2011-06-11",8.275
"The Trip","2011-04-24",7.104
"L!fe Happens","2011-06-18",7.393
"Something Borrowed","2011-05-05",9.649
"Larry Crowne","2011-06-30",8.723
"Attack the Block","2011-05-12",9.38
"A Better Life","2011-06-24",6.894
"Bully","2011-04-23",7.776
"Arthur","2011-04-08",6.703
"Hobo with a Shotgun","2011-05-06",7.536
"Daydream Nation","2011-05-06",5.848
"Habemus Papam","2011-04-15",7.502
"Snowtown","2011-05-16",8.354
"You May Not Kiss the Bride","2011-04-03",7.194
"Lady Gaga Presents: The Monster Ball Tour at Madison Square Garden","2011-05-07",6.002
"The Decoy Bride","2011-06-06",7.053
"William & Kate","2011-04-18",6.027
"Beat the World","2011-06-10",4.848
"ANOTHER GANTZ","2011-04-22",8.212
"Bobby Fischer Against the World","2011-06-06",5.952
"Wrecked","2011-04-01",6.643
"Atlas Shrugged: Part I","2011-04-14",6.892
"Skateland","2011-05-13",4.037
"Bellflower","2011-04-16",6.925
"17 filles","2011-06-13",6.264
"Too Big to Fail","2011-05-22",5.634
"써니","2011-05-04",5.549
"That's What I Am","2011-04-01",5.614
"Ferocious Planet","2011-04-09",3.962
"Cat Run","2011-04-01",5.764
"Marley & Me: The Puppy Years","2011-06-01",6.347
"The Hit List","2011-04-02",7.317
"星を追う子ども","2011-05-07",8.863
"TT3D: Closer to the Edge","2011-04-22",6.654
"Tomboy","2011-04-20",6.718
"Death of a Superhero","2011-05-04",5.192
"Touchback","2011-04-13",5.5
"Page One: Inside the New York Times","2011-04-29",4.174
"The Ouija Experiment","2011-05-05",6.081
"Love's Kitchen","2011-06-07",3.652
"Madea's Big Happy Family","2011-04-22",6.326
"Forks Over Knives","2011-05-06",8.241
"Le Chat du rabbin","2011-05-31",4.318
"The Bleeding House","2011-04-20",3.019
"Conan O'Brien Can't Stop","2011-06-24",6.225
"Elle: A Modern Cinderella Tale","2011-04-26",4.35
"L'Élève Ducobu","2011-06-22",5.331
"Queen: Days of Our Lives","2011-05-29",6.235
"Елена","2011-06-06",6.467
"Les Tuche","2011-06-30",5.576
"Gantz: Perfect Answer","2011-04-23",5.316
"Cinema Verite","2011-04-23",3.721
"Almanya - Willkommen in Deutschland","2011-05-13",4.531
"The Ballad of Nessie","2011-04-13",5.415
"My Future Boyfriend","2011-04-10",3.677
"Swamp Shark","2011-06-25",4.666
"Burn Notice: The Fall of Sam Axe","2011-04-17",5.57
"Jesse Stone: Innocents Lost","2011-05-21",7.018
"The Veteran","2011-04-29",6.122
"Sacrifice","2011-04-26",3.93
"名探偵コナン 沈黙の15分（クォーター）","2011-04-16",9.121
"DeadHeads","2011-04-29",5.541
"Megan Is Missing","2011-05-01",6.641
"Judy Moody and the Not Bummer Summer","2011-06-10",4.045
"Kylie Minogue: Aphrodite Les Folies Live in London","2011-06-19",3.939
"Born to Be Wild","2011-04-08",5.191
"God Bless Ozzy Osbourne","2011-04-24",4.705
"Cougars, Inc.","2011-04-21",6.325
"eCupid","2011-06-23",5.955
"The River Murders","2011-06-30",6.218
"Hidden 3D","2011-04-21",4.162
"Sinbad and the Minotaur","2011-05-07",2.455
"Fight for Your Right Revisited","2011-04-22",5.017
"The Suspicions of Mr Whicher: The Murder at Road Hill House","2011-04-25",4.25
"Blood Out","2011-04-25",4.61
"Father's Day","2011-06-19",4.061
"Good Neighbours","2011-06-03",3.668
"关云长","2011-04-28",6.129
"奇跡","2011-06-11",3.5
"Low Cost","2011-06-08",3.666
"La Fille du puisatier","2011-04-19",5.211
"Red Faction: Origins","2011-06-04",3.889
"Hot Coffee","2011-06-27",4.808
"Et maintenant on va où?","2011-05-16",4.886
"鬼神伝","2011-04-29",2.226
"Swinging with the Finkels","2011-06-01",4.614
"Happy","2011-04-09",4.928
"35 and Ticking","2011-05-20",2.889
"Buck","2011-06-17",4.89
"Edge of the Garden","2011-05-15",2.942
"Judas Kiss","2011-04-01",5.153
"Talking Funny","2011-04-22",3.606
"Bail Enforcers","2011-04-19",3.503
"Michael Jackson: The Life of an Icon","2011-06-06",3.899
"Pyaar Ka Punchnama","2011-05-20",4.466
"Bunnyman","2011-06-20",3.574
"Requiem Pour Une Tueuse","2011-06-01",3.49
"Almighty Thor","2011-05-07",3.976
"Born to Ride","2011-06-26",3.483
"Beyond the Blackboard","2011-04-24",3.941
"Gettysburg","2011-05-30",4.979
"November Christmas","2011-06-21",4.486
"Earth's Final Hours","2011-05-31",4.518
"La conquête","2011-05-18",3.633
"Boris - Il film","2011-04-01",4.699
"Killing Bono","2011-04-01",4.317
"Honeymoon for One","2011-06-14",4.154
"Monsieur Papa","2011-05-31",3.293
"パラダイス・キス","2011-06-04",3.331
"Memorial Day","2011-06-06",3.9
"Kriegerin","2011-06-28",3.733
"Chop","2011-05-07",3.378
"The Perfect Family","2011-04-30",3.66
"Without Men","2011-06-29",3.928
"Evil Bong 3: The Wrath of Bong","2011-04-08",3.1
"Company","2011-06-15",3.691
"Private Romeo","2011-06-20",3.846
"Some Guy Who Kills People","2011-04-14",5.385
"180","2011-06-25",2.55
"Cougar Hunting","2011-04-22",4.298
"Forget Me Not","2011-05-06",3.528
"Foo Fighters: Back and Forth","2011-04-05",4.06
"ゴーカイジャー ゴセイジャー スーパー戦隊199ヒーロー 大決戦","2011-06-11",5.549
"The Prodigies","2011-06-07",4.058
"Thor: Tales of Asgard","2011-05-16",2.977
"Much Ado About Nothing","2011-05-16",3.349
"Carnal Innocence","2011-06-13",3.918
"The Victim","2011-06-06",2.637
"Longhorns","2011-06-25",3.717
"硬汉2：奉陪到底","2011-04-01",1.853
"Good Day for It","2011-04-08",1.824
