"name","release","popularity"
"Saw 3D","2010-10-21",26.203
"Harry Potter and the Deathly Hallows: Part 1","2010-10-17",32.068
"Tangled","2010-11-24",23.3
"The Social Network","2010-10-01",21.655
"TRON: Legacy","2010-12-10",17.933
"Megamind","2010-10-28",16.819
"Black Swan","2010-12-03",15.509
"127 Hours","2010-11-05",12.324
"The Fighter","2010-12-17",12.938
"Jackass 3D","2010-10-15",18.599
"True Grit","2010-12-22",15.301
"Gulliver's Travels","2010-12-25",9.37
"The Nutcracker","2010-11-24",14.241
"Love & Other Drugs","2010-11-22",11.286
"The Tourist","2010-12-08",21.841
"Life As We Know It","2010-10-02",11.15
"RED","2010-10-13",14.217
"It's Kind of a Funny Story","2010-10-08",11.141
"Unstoppable","2010-11-04",14.986
"LelleBelle","2010-10-08",15.216
"Death Race 2","2010-11-12",11.864
"Faster","2010-11-23",10.132
"Due Date","2010-11-04",11.664
"Superman/Shazam!: The Return of Black Adam","2010-11-09",7.317
"Morning Glory","2010-11-10",11.845
"Blue Valentine","2010-12-16",10.755
"Skyline","2010-11-11",11.592
"Altitude","2010-10-10",8.988
"The Next Three Days","2010-11-18",10.415
"Kung Fu Panda Holiday","2010-11-26",8.697
"Paranormal Activity 2","2010-10-20",8.923
"Scared Shrekless","2010-12-24",9.142
"Little Fockers","2010-12-21",10.229
"Legend of the BoneKnapper Dragon","2010-10-15",9.338
"Hereafter","2010-10-22",9.575
"黄沙武士","2010-12-02",12.205
"Konferenz der Tiere","2010-10-07",8.271
"Country Strong","2010-12-22",9.448
"Don't Be Afraid of the Dark","2010-11-06",11.106
"Inside Job","2010-10-08",10.837
"Natale in Sudafrica","2010-12-20",10.627
"30 Days of Night: Dark Days","2010-10-04",8.021
"Yogi Bear","2010-12-17",9.871
"Rabbit Hole","2010-12-16",7.888
"Let Me In","2010-10-01",9.421
"Senna","2010-10-07",11.132
"London Boulevard","2010-11-10",8.619
"My Babysitter's a Vampire","2010-10-09",6.989
"BloodRayne: The Third Reich","2010-11-05",9.05
"Mirrors 2","2010-10-18",8.284
"Burlesque","2010-11-23",9.673
"Robot Chicken: Star Wars Episode III","2010-12-19",7.283
"The Company Men","2010-10-21",9.349
"Burke & Hare","2010-10-29",6.756
"Trolljegeren","2010-10-29",8.625
"The Other Woman","2010-10-28",6.237
"Stone","2010-10-07",9.372
"How Do You Know","2010-12-17",8.058
"எந்திரன்","2010-10-01",5.385
"Tropa de Elite 2","2010-10-08",9.527
"Tres metros sobre el cielo","2010-12-03",8.451
"All Good Things","2010-12-03",7.036
"Rare Exports","2010-11-24",9.262
"The Search for Santa Paws","2010-10-12",8.327
"Les Petits Mouchoirs","2010-10-20",8.611
"Exorcismus","2010-12-29",5.208
"让子弹飞","2010-12-16",6.73
"Une vie de chat","2010-12-15",5.576
"Banana","2010-12-13",7.59
"Minions: Orientation Day","2010-12-13",6.173
"황해","2010-12-22",8.941
"Chico & Rita","2010-11-19",6.749
"Freakonomics","2010-10-01",6.496
"Home Makeover","2010-12-13",7.507
"Barney's Version","2010-10-26",7.019
"Stomp the Yard 2: Homecoming","2010-10-10",8.681
"Toast","2010-12-30",6.845
"Ultramarines: A Warhammer 40,000 Movie","2010-12-10",5.658
"Chain Letter","2010-10-01",5.816
