"name","release","popularity"
"The Hobbit: The Battle of the Five Armies","2014-12-10",52.988
"John Wick","2014-10-22",54.845
"Interstellar","2014-11-05",46.9
"Big Hero 6","2014-10-24",38.699
"Gone Girl","2014-10-01",28.72
"Taken 3","2014-12-16",37.24
"Whiplash","2014-10-10",42.905
"The Imitation Game","2014-11-14",24.907
"Fury","2014-10-15",33.419
"Night at the Museum: Secret of the Tomb","2014-12-17",33.201
"Nightcrawler","2014-10-23",27.386
"The Hunger Games: Mockingjay - Part 1","2014-11-18",29.432
"Dracula Untold","2014-10-01",25.075
"The Loft","2014-10-14",17.531
"Exodus: Gods and Kings","2014-12-03",24.143
"Into the Woods","2014-12-24",19.417
"Penguins of Madagascar","2014-11-22",18.679
"Seventh Son","2014-12-12",15.967
"A Merry Friggin' Christmas","2014-11-07",14.715
"Autómata","2014-10-09",17.71
"Inherent Vice","2014-12-25",18.84
"Dumb and Dumber To","2014-11-12",16.744
"Ouija","2014-10-24",15.543
"The Judge","2014-10-08",16.966
"Escobar: Paradise Lost","2014-10-11",14.63
"Annie","2014-12-19",14.415
"Love, Rosie","2014-10-16",13.174
"The Interview","2014-12-25",17.058
"St. Vincent","2014-10-09",13.622
"The Theory of Everything","2014-11-26",16.62
"Left Behind","2014-10-03",14.149
"A Most Violent Year","2014-12-30",14.569
"American Sniper","2014-12-11",12.893
"Horrible Bosses 2","2014-11-26",19.002
"Paddington","2014-11-24",13.993
"Black Sea","2014-12-05",9.974
"The Gambler","2014-12-25",12.449
"Annabelle","2014-10-02",15.112
"정사","2014-10-30",18.341
"Toy Story That Time Forgot","2014-12-02",8.98
"Fratelli unici","2014-10-02",8.944
"La Famille Bélier","2014-12-17",7.16
"The Pyramid","2014-12-04",13.316
"Wild","2014-12-05",10.185
"Serena","2014-10-12",8.65
"Tinker Bell and the Legend of the NeverBeast","2014-12-12",11.387
"Big Eyes","2014-12-24",10.19
"The Water Diviner","2014-12-25",14.694
"The Book of Life","2014-10-01",9.669
"10.0 Earthquake","2014-10-15",5.677
"Camp X-Ray","2014-10-17",10.643
"Unbroken","2014-12-25",13.596
"Son of a Gun","2014-10-16",10.333
"The Opposite Sex","2014-11-08",8.535
"Suite Française","2014-11-05",10.111
"Cooties","2014-10-10",9.215
"The Best of Me","2014-10-16",9.065
"Comet","2014-12-05",6.444
"The Woman in Black 2: Angel of Death","2014-12-30",8.418
"The Last: Naruto the Movie","2014-12-06",8.554
"Still Alice","2014-12-05",10.842
"'71","2014-10-10",11.738
"Last Shift","2014-10-25",6.784
"Citizenfour","2014-10-24",10.593
"Jessabelle","2014-11-07",8.128
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","2014-10-08",10.648
"Dying of the Light","2014-12-04",7.934
"You're Not You","2014-10-10",9.027
"Astérix: Le domaine des dieux","2014-11-26",9.124
"Feast","2014-11-07",8.382
"Selma","2014-12-25",10.01
"Dragons: Dawn Of The Dragon Racers","2014-11-01",7.647
"Atari: Game Over","2014-11-19",9.092
"Monsters: Dark Continent","2014-10-09",6.809
"Men, Women & Children","2014-10-17",7.411
"99 Homes","2014-10-09",6.965
"Clown","2014-11-13",8.441
"Life Partners","2014-12-05",7.388
"Spring","2014-10-08",7.828
"Extraterrestrial","2014-10-17",8.084
"Fasandræberne","2014-10-02",8.583
"Zombeavers","2014-10-20",6.016
"Addicted","2014-10-10",6.587
"Mr. Turner","2014-10-31",7.726
"Eden","2014-11-19",6.997
"Skin Trade","2014-11-07",6.938
"One Direction: Where We Are – The Concert Film","2014-10-08",7.551
"The Nine Lives of Christmas","2014-11-08",4.849
"The Last Five Years","2014-11-03",7.841
"Mercy","2014-10-07",7.29
"The Disappearance of Eleanor Rigby: Him","2014-10-10",7.626
"The Disappearance of Eleanor Rigby: Her","2014-10-10",7.906
