"name","release","popularity"
"Percy Jackson & the Olympians: The Lightning Thief","2010-02-01",24.151
"How to Train Your Dragon","2010-03-10",22.77
"Shutter Island","2010-02-14",23.043
"Alice in Wonderland","2010-03-03",18.733
"Kick-Ass","2010-03-22",14.364
"From Paris with Love","2010-02-04",16.912
"Hot Tub Time Machine","2010-03-26",13.013
"The Book of Eli","2010-01-11",14.22
"Barbie in A Mermaid Tale","2010-01-26",10.615
"Legion","2010-01-21",10.779
"She's Out of My League","2010-03-11",10.487
"Edge of Darkness","2010-01-28",11.93
"Justice League: Crisis on Two Earths","2010-02-23",10.919
"Valentine's Day","2010-02-10",11.887
"Repo Men","2010-03-18",10.719
"The Wolfman","2010-02-11",11.914
"Leap Year","2010-01-08",9.806
"Starstruck","2010-02-14",9.557
"The Ghost Writer","2010-02-12",11.112
"Centurion","2010-02-15",11.075
"Nanny McPhee and the Big Bang","2010-03-26",12.91
"Diary of a Wimpy Kid","2010-03-19",10.855
"13","2010-03-12",10.551
"The Crazies","2010-02-26",12.469
"Tooth Fairy","2010-01-14",11.921
"The Bounty Hunter","2010-03-16",10.519
"The Runaways","2010-03-19",11.071
"TEKKEN","2010-03-20",10.139
"Mes chères études","2010-01-18",7.352
"Exit Through the Gift Shop","2010-01-24",10.242
"L'Immortel","2010-03-23",11.827
"Remember Me","2010-03-12",8.715
"The Killer Inside Me","2010-02-19",9.064
"Greenberg","2010-03-26",7.937
"苏乞儿","2010-02-09",10.013
"The Cutting Edge: Fire & Ice","2010-03-14",8.509
"Scooby-Doo! Abracadabra-Doo","2010-02-16",6.58
"Cop Out","2010-02-26",10.567
"Shelter","2010-03-27",9.164
"The Spy Next Door","2010-01-15",8.349
"The Last Song","2010-03-31",11.501
"LEGO: The Adventures of Clutch Powers","2010-01-01",5.645
"Dante's Inferno: An Animated Epic","2010-02-09",10.219
"Frozen","2010-02-05",8.014
"When in Rome","2010-01-29",8.569
"Hesher","2010-01-22",8.506
"Extraordinary Measures","2010-01-21",8.676
"Smokin' Aces 2: Assassins' Ball","2010-01-19",10.621
"Planet Hulk","2010-02-02",8.378
"Harriet the Spy: Blog Wars","2010-01-01",7.162
"Free Willy: Escape from Pirate's Cove","2010-03-23",6.719
"The Final","2010-01-28",8.404
"Green Zone","2010-03-11",13.008
"Open Season 3","2010-01-25",10.259
"Dear John","2010-02-04",11.408
"L'illusionniste","2010-02-16",8.114
"Devil","2010-01-13",10.603
"Ao, le dernier néandertal","2010-01-29",5.116
"Gainsbourg (vie héroïque)","2010-01-20",6.674
"L'arnacoeur","2010-03-17",6.148
"Tucker and Dale vs. Evil","2010-01-22",8.902
"大兵小将","2010-02-14",6.832
"Louis C.K.: Hilarious","2010-01-26",6.683
"YellowBrickRoad","2010-01-23",7.13
"Boy","2010-02-14",9.551
"Mine vaganti","2010-02-12",7.486
"Repeaters","2010-01-01",7.222
"Ca$h","2010-01-01",6.632
"ஆயிரத்தில் ஒருவன்","2010-01-14",5.545
"Temple Grandin","2010-02-06",7.941
"Henry's Crime","2010-01-14",5.943
"Lying to Be Perfect","2010-01-30",6.722
"The Pregnancy Pact","2010-01-23",6.298
"Gasland","2010-01-24",6.632
"La Rafle","2010-03-10",7.046
"Quantum Apocalypse","2010-02-24",5.148
"My Name Is Khan","2010-02-11",6.659
"Please Give","2010-01-22",6.598
"Birdemic: Shock and Terror","2010-02-27",6.411
"Baciami ancora","2010-01-29",5.583
"Nine Dead","2010-03-09",7.686
"Waiting for Forever","2010-02-10",7.456
"Tout ce qui Brille","2010-03-24",4.308
"Five Minarets in New York","2010-03-09",7.446
"錦衣衛","2010-02-04",6.812
"The People vs. George Lucas","2010-03-14",6.248
"Father of Invention","2010-02-14",6.768
"Io, loro e Lara","2010-01-01",5.163
"Scusa ma ti voglio sposare","2010-02-12",7.413
"The 7 Adventures of Sinbad","2010-01-01",4.68
"Le Mac","2010-02-16",5.777
"Snabba cash","2010-01-15",5.954
"Super Hybrid","2010-01-01",3.928
"涼宮ハルヒの消失","2010-02-05",6.458
"Icarus","2010-02-09",5.868
"La Horde","2010-02-10",6.106
